,delivery_cost
"(7020, 3677)",0.03153216964956417
"(7020, 1365)",0.016946854742042453
"(7020, 2691)",0.03093740329615266
"(7020, 1121)",0.03012128975532883
"(7020, 1493)",0.032830269915432156
"(7020, 770)",0.031145398583405252
"(7020, 1533)",0.01655272290170897
"(7020, 2847)",0.033585194878582775
"(7020, 3335)",0.016328530436148587
"(7020, 565)",0.030621009629819194
"(7020, 1973)",0.016908107199345265
"(7039, 719)",0.015813252133517385
"(7039, 3677)",0.01351415175643671
"(7039, 1365)",0.02965226191841451
"(7039, 2691)",0.01646402801884152
"(7039, 1121)",0.01724420257353531
"(7039, 1493)",0.014677626343685347
"(7039, 770)",0.01336137461445805
"(7039, 1533)",0.02922271814229165
"(7039, 2847)",0.015567928218185301
"(7039, 3335)",0.02840821196798429
"(7039, 565)",0.0138544308931487
"(7039, 1973)",0.029228461429229732
"(13468, 719)",0.03381593760698602
"(13468, 3677)",0.03597199730956163
"(13468, 1365)",0.021386682402039912
"(13468, 2691)",0.03537723095615011
"(13468, 1121)",0.03456111741532629
"(13468, 1493)",0.037270097575429616
"(13468, 770)",0.03558522624340271
"(13468, 1533)",0.02099255056170643
"(13468, 2847)",0.03802502253858024
"(13468, 3335)",0.020768358096146043
"(13468, 565)",0.035060837289816654
"(13468, 1973)",0.02134793485934272
"(629, 719)",0.005929891707119255
"(629, 3677)",0.003630791330038583
"(629, 1365)",0.019768901492016384
"(629, 2691)",0.00658066759244339
"(629, 1121)",0.007360842147137182
"(629, 1493)",0.00479426591728722
"(629, 770)",0.0034780141880599216
"(629, 1533)",0.019339357715893516
"(629, 2847)",0.005684567791787172
"(629, 3335)",0.01852485154158616
"(629, 565)",0.0039710704667505715
"(629, 1973)",0.019345101002831606
"(29526, 719)",0.02940579154874791
"(29526, 3677)",0.03156185125132352
"(29526, 1365)",0.0169765363438018
"(29526, 2691)",0.030967084897912008
"(29526, 1121)",0.03015097135708818
"(29526, 1493)",0.032859951517191496
"(29526, 770)",0.031175080185164603
"(29526, 1533)",0.016582404503468318
"(29526, 2847)",0.03361487648034212
"(29526, 3335)",0.016358212037907934
"(29526, 565)",0.030650691231578545
"(29526, 1973)",0.016937788801104612
